;Comun_list.1.n.;Resident_w_list;Workers_list;Autflux_list;Autoff_list;Autdom_list
494;4005;50;14;10;0,2;0,714285714
495;4006;20;20,08;14;0,7;0,697211155
496;4007;89;14;11;0,123595506;0,785714286
497;4008;472;354,93;203;0,430084746;0,571943764
498;4009;3018;2240,68;1606;0,53214049;0,716746702
499;4010;580;432,47;178;0,306896552;0,411589243
500;4011;363;244,05;125;0,344352617;0,512190125
501;4012;3918;3755,12;2364;0,603369066;0,629540467
502;4013;396;594,58;199;0,502525253;0,334690033
503;4014;305;237,44;102;0,33442623;0,42958221
504;4015;65;32,05;8;0,123076923;0,249609984
505;4016;1819;1223,95;655;0,36008796;0,53515258
506;4017;49;15;13;0,265306122;0,866666667
507;4018;157;122,36;49;0,312101911;0,400457666
508;4019;1878;1625,67;986;0,525026624;0,606519158
509;4020;202;63,89;31;0,153465347;0,485208953
510;4021;15;5;2;0,133333333;0,4
511;4022;2275;1335,57;842;0,37010989;0,630442433
512;4023;31;49;9;0,290322581;0,183673469
513;4024;206;102,74;67;0,325242718;0,652131594
514;4025;6808;5543,85;2999;0,440511163;0,540959802
515;4026;68;97,27;19;0,279411765;0,195332579
516;4027;313;362,61;144;0,460063898;0,397120874
517;4028;5361;3489,25;2542;0,474165268;0,728523322
518;4029;15192,11;16148,84;9930,73;0,65367681;0,614950052
519;4030;173;38,06;20;0,115606936;0,525486075
520;4031;8;6;3;0,375;0,5
521;4032;109;16;8;0,073394495;0,5
522;4033;542;357,93;207;0,381918819;0,578325371
523;4034;5510;3937,06;2722;0,494010889;0,691378846
524;4035;257;195;78;0,303501946;0,4
525;4036;131;78;59;0,450381679;0,756410256
526;4037;3127;2588,46;1522;0,486728494;0,587994406
527;4038;26;17;15;0,576923077;0,882352941
528;4039;30;9;7;0,233333333;0,777777778
529;4040;3681;2696,9;1720;0,46726433;0,637769291
530;4041;1673;1969,07;905;0,540944411;0,459607835
531;4042;590;260,55;205;0,347457627;0,78679716
532;4043;2229;1897,28;1155;0,518169583;0,608766234
533;4044;85;19,36;15;0,176470588;0,774793388
534;4045;763;852,55;291;0,381389253;0,341328954
535;4046;1233;1073,19;313;0,253852393;0,291653854
536;4047;59;36;28;0,474576271;0,777777778
537;4048;142;47,61;23;0,161971831;0,483091787
538;4049;746;558,99;282;0,378016086;0,504481297
